#Serovar	Isolate	Location	Isolation Source	Isolation type	SNP cluster	Min-same	Min-diff	BioSample	Assembly	AMR genotypes core	Collection Date
E. coli O141:H2	PDT000105054.3	USA	stool	clinical				SAMN04227721	GCA_012725975.1	blaEC=COMPLETE	2015-02
E. coli O103:Pending	PDT000105079.3	USA	stool	clinical				SAMN04437628	GCA_012726035.1	blaEC=COMPLETE	2015-12
E. coli O103:Pending	PDT000105108.3	USA	stool	clinical				SAMN04159733		blaEC=COMPLETE	2013-04
E. coli O145:Undetermined	PDT000105117.3	USA	stool	clinical				SAMN04448349	GCA_012724185.1	blaEC=MISTRANSLATION	2012-06
E. coli O121:Undetermined	PDT000105119.3	USA	stool	clinical				SAMN04450435	GCA_012725595.1	blaEC=COMPLETE	2015-12
E. coli O103:Pending	PDT000105121.3	USA	stool	clinical				SAMN04444292	GCA_012725555.1	blaEC=COMPLETE	2016-01
E. coli O91:H14	PDT000105132.2	USA	stool	clinical				SAMN04450436	GCA_012724455.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT	2016-01
E. coli O76:H7	PDT000106996.3	USA	stool	clinical				SAMN04485280	GCA_012717635.1	blaEC=COMPLETE	2015-05
E. coli O103:HNT	PDT000107031.3	USA	stool	clinical				SAMN04481686	GCA_012717475.1	blaEC=COMPLETE	2016-01
E. coli O121:Pending	PDT000107434.3	USA	stool	clinical				SAMN04496115	GCA_012723655.1	blaEC=COMPLETE	2016-01
E. coli O157:H7	PDT000107481.3	USA	stool	clinical				SAMN04495690	GCA_012723395.1	blaEC=COMPLETE	2015-12
E. coli O145:Undetermined	PDT000107492.3	USA	stool	clinical				SAMN04495812	GCA_012739715.1	blaEC=MISTRANSLATION	2012-05
E. coli O145:Undetermined	PDT000107493.3	USA	stool	clinical				SAMN04495807	GCA_012740125.1	blaEC=MISTRANSLATION	2015-12
E. coli O26:Undetermined	PDT000107494.3	USA	stool	clinical				SAMN04495809		blaEC=COMPLETE	2016-01
E. coli O111:Pending	PDT000107500.3	USA	stool	clinical				SAMN04495679	GCA_012740315.1	blaEC=COMPLETE,blaTEM-135=COMPLETE,tet(A)=COMPLETE	2016-02
E. coli O111:NM	PDT000107705.3	USA	stool	clinical				SAMN04498483	GCA_012740015.1	blaEC=COMPLETE	2012-11
E. coli O111:NM	PDT000107712.3	USA	stool	clinical				SAMN04498490	GCA_012722945.1	blaEC=COMPLETE	2012-11
E. coli O121:H19	PDT000107724.3	USA	stool	clinical				SAMN04498511	GCA_012740115.1	blaEC=COMPLETE	2012-07
E. coli O121:H19	PDT000107726.3	USA	stool	clinical				SAMN04498513	GCA_012740055.1	blaEC=COMPLETE	2012-09
E. coli O111:NM	PDT000107826.3	USA	stool	clinical				SAMN04504389	GCA_012739395.1	blaEC=COMPLETE	2013-07
E. coli O157:H7	PDT000107842.3	USA	stool	clinical				SAMN04503533	GCA_012722295.1	blaEC=COMPLETE	2006-07
E. coli O152:NM	PDT000107955.3	USA	stool	clinical				SAMN04505645	GCA_012750415.1	blaEC=COMPLETE	2013-07
E. coli O103:Pending	PDT000110748.3	USA	stool	clinical				SAMN04500984	GCA_012736095.1	blaEC=COMPLETE	2016-01
E. coli O26:Pending	PDT000110749.3	USA	stool	clinical				SAMN04500985	GCA_012736155.1	blaEC=COMPLETE	2016-01
E. coli O186:H2	PDT000113659.3	USA	stool	clinical				SAMN04543179	GCA_012762885.1	blaEC=COMPLETE	2016-02
E. coli O111:	PDT000113772.3	USA	stool	clinical				SAMN04544278	GCA_012762495.1	blaEC=COMPLETE	2013-08
E. coli O177:NM	PDT000113776.3	USA	stool	clinical				SAMN04544282	GCA_012762545.1	blaEC=COMPLETE	2013-08
E. coli O103:H2	PDT000114521.3	USA	stool	clinical				SAMN04549567	GCA_012761235.1	blaEC=COMPLETE	2011-01
E. coli O26:Pending	PDT000114657.3	USA	stool	clinical				SAMN04550282		blaEC=COMPLETE	2013-08
E. coli O26:Pending	PDT000114659.3	USA	stool	clinical				SAMN04550283	GCA_012715975.1	blaEC=COMPLETE	2013-08
E. coli O103:Pending	PDT000114686.3	USA	stool	clinical				SAMN04549210	GCA_012715875.1	blaEC=COMPLETE	2016-02
E. coli O103:Pending	PDT000114687.3	USA	stool	clinical				SAMN04549209	GCA_012715895.1	blaEC=COMPLETE	2016-02
E. coli O111:NM	PDT000115020.3	USA	stool	clinical				SAMN04558459	GCA_012714965.1	blaEC=COMPLETE	2010-06
E. coli O17:H18	PDT000115023.3	USA	stool	clinical				SAMN04558463	GCA_012714985.1	blaEC=COMPLETE,cyaA_S352T=POINT,parC_S57T=POINT,uhpT_E350Q=POINT	2012-04
E. coli O111:NM	PDT000115024.3	USA	stool	clinical				SAMN04558464	GCA_012715005.1	blaEC=COMPLETE	2012-05
E. coli O125ac	PDT000119987.3	USA	stool	clinical				SAMN04571762	GCA_012711865.1	blaEC=COMPLETE,fosA7.5=COMPLETE	2013-05
E. coli O103:H2	PDT000120803.3	USA	stool	clinical				SAMN04578347	GCA_012711925.1	blaEC=COMPLETE	2007-12
E. coli O121:Pending	PDT000120814.3	USA	stool	clinical				SAMN04578353	GCA_012712195.1	blaEC=COMPLETE	2012-01
E. coli O145:NM	PDT000120830.3	USA	stool	clinical				SAMN04578439	GCA_012711015.1	blaEC=MISTRANSLATION	2013-09
E. coli O26:NM	PDT000120836.3	USA	stool	clinical				SAMN04578446	GCA_012710675.1	blaEC=COMPLETE	2013-05
E. coli O84:H2	PDT000120848.3	USA	stool	clinical				SAMN04578476	GCA_012710775.1	blaEC=COMPLETE	2015-05
E. coli O55:H7	PDT000121083.3	USA	stool	clinical				SAMN04568481	GCA_012709305.1	blaEC=COMPLETE	2016-02
E. coli O186:NM	PDT000124929.3	USA	stool	clinical				SAMN04632363	GCA_012706245.1	blaEC=COMPLETE	2016-03
E. coli O111:	PDT000124940.3	USA	stool	clinical				SAMN04621673	GCA_012706105.1	blaEC=COMPLETE	2015-06
E. coli O5:NM	PDT000124944.3	USA	stool	clinical				SAMN04621677	GCA_012705985.1	blaEC=COMPLETE,fosA7.5=COMPLETE	2015-06
E. coli O121:	PDT000124979.3	USA	stool	clinical				SAMN04621665	GCA_012705605.1	blaEC=COMPLETE	2015-07
E. coli O121:	PDT000124981.3	USA	stool	clinical				SAMN04621667	GCA_012705505.1	blaEC=COMPLETE	2015-07
E. coli O145:Undetermined	PDT000124993.3	USA	stool	clinical				SAMN04594784	GCA_012705085.1	blaEC=MISTRANSLATION	2016-02
E. coli O117:H8	PDT000124994.3	USA	stool	clinical				SAMN04594785	GCA_012705165.1	blaEC=COMPLETE	2016-02
E. coli O71:H8	PDT000125002.3	USA	stool	clinical				SAMN04588523	GCA_012704185.1	blaEC=COMPLETE	2016-02
E. coli O121:	PDT000125005.3	USA	stool	clinical				SAMN04621653	GCA_012704725.1	blaEC=COMPLETE	2015-08
E. coli O145:Pending	PDT000125011.3	USA	stool	clinical				SAMN04621646	GCA_012704985.1	blaEC=MISTRANSLATION	2015-08
E. coli O121:	PDT000125014.3	USA	stool	clinical				SAMN04621649	GCA_012704965.1	blaEC=COMPLETE	2015-08
E. coli O26:Pending	PDT000125015.3	USA	stool	clinical				SAMN04621650		blaEC=COMPLETE	2015-08
E. coli O26:	PDT000125525.3	USA	stool	clinical				SAMN04633643		blaEC=COMPLETE	2015-05
E. coli O111:Undetermined	PDT000126262.3	USA	stool	clinical				SAMN04867239	GCA_012900965.1	blaEC=COMPLETE	2015-09
E. coli O121:Undetermined	PDT000126268.3	USA	stool	clinical				SAMN04867138	GCA_012900945.1	blaEC=COMPLETE	2016-03
E. coli O69:H11	PDT000127386.3	USA	stool	clinical				SAMN04881427		blaEC=COMPLETE	2016-04
E. coli O26:Pending	PDT000127731.3	USA	stool	clinical				SAMN04867621		blaEC=COMPLETE	2016-03
E. coli O103:Pending	PDT000128460.3	USA	stool	clinical				SAMN04916516	GCA_012899885.1	blaEC=COMPLETE	2016-04
E. coli O103:H2	PDT000128668.3	USA	stool	clinical				SAMN04913812	GCA_012899625.1	blaEC=COMPLETE	2012-02
E. coli O103:Pending	PDT000130544.3	USA	stool	clinical				SAMN04962230	GCA_012898945.1	blaEC=COMPLETE	2016-04
E coli O103:Pending	PDT000130545.3	USA	stool	clinical				SAMN04962232	GCA_012898975.1	blaEC=COMPLETE	2016-05
E. coli O103:H2	PDT000130561.3	USA	stool	clinical				SAMN04978807		blaEC=COMPLETE	2011-12
E. coli O26:H11	PDT000130564.3	USA	stool	clinical				SAMN04978810		blaEC=COMPLETE	2011-11
E. coli O26:H11	PDT000130566.3	USA	stool	clinical				SAMN04978808		blaEC=COMPLETE,tet(C)=COMPLETE	2011-12
E. coli O45:Pending	PDT000130570.3	USA	stool	clinical				SAMN04958126	GCA_012898865.1	blaEC=COMPLETE	2016-04
E. coli O103:Undetermined	PDT000130998.3	USA	stool	clinical				SAMN05001373	GCA_012898755.1	blaEC=COMPLETE	2016-03
E. coli O26:Undetermined	PDT000130999.3	USA	stool	clinical				SAMN05001375		blaEC=COMPLETE	2016-03
E. coli O77:H41	PDT000131026.3	USA	stool	clinical				SAMN05001380	GCA_012897955.1	blaEC=COMPLETE,cyaA_S352T=POINT,parC_S57T=POINT,uhpT_E350Q=POINT	2016-04
E. coli O165:NM	PDT000131033.3	USA	stool	clinical				SAMN03782148	GCA_012898545.1	blaEC=COMPLETE	2014-03
E. coli O28:H25	PDT000131099.3	USA	stool	clinical				SAMN05024358	GCA_012898805.1	blaEC=COMPLETE	2016-04
E. coli OUND:H8	PDT000131100.3	USA	stool	clinical				SAMN05024357	GCA_012897455.1	blaEC=COMPLETE	2016-04
E. coli O103:Undetermined	PDT000131126.3	USA	stool	clinical				SAMN04544759	GCA_012897515.1	blaEC=COMPLETE	2015-03
E. coli O103:Undetermined	PDT000131129.3	USA	stool	clinical				SAMN04544763	GCA_012897535.1	blaEC=COMPLETE	2015-06
E. coli O103:Undetermined	PDT000131131.3	USA	stool	clinical				SAMN04544765	GCA_012897475.1	blaEC=COMPLETE	2015-08
E. coli O103:Pending	PDT000132452.3	USA	stool	clinical				SAMN05176256	GCA_012897285.1	blaEC=COMPLETE	2016-04
E. coli O26:H11	PDT000132578.3	USA	stool	clinical				SAMN05170944		blaEC=COMPLETE	2016-04
E. coli O103:Pending	PDT000133760.3	USA	stool	clinical				SAMN05180930	GCA_012896835.1	blaEC=COMPLETE	2016-05
E. coli O103:HNT	PDT000133762.3	USA	stool	clinical				SAMN05179988	GCA_012896775.1	blaEC=COMPLETE	2016-05
E. coli O26:	PDT000133773.3	USA	stool	clinical				SAMN05177293		blaEC=COMPLETE	2015-05
E. coli O26:Pending	PDT000133777.3	USA	stool	clinical				SAMN05177292		blaEC=COMPLETE	2016-04
E. coli O103:Pending	PDT000133819.3	USA	stool	clinical				SAMN05209081	GCA_012896635.1	blaEC=COMPLETE	2016-05
E. coli O145:Undetermined	PDT000134040.3	USA	stool	clinical				SAMN05203328	GCA_012895935.1	blaEC=MISTRANSLATION	2016-05
E. coli O111:Undetermined	PDT000134073.3	USA	stool	clinical				SAMN05033866	GCA_012895415.1	blaEC=COMPLETE	2014-10
E. coli O26:Pending	PDT000135353.3	USA	stool	clinical				SAMN05253904		blaEC=COMPLETE	2016-05
E. coli O26:Pending	PDT000135356.3	USA	stool	clinical				SAMN05253900		blaEC=COMPLETE	2016-05
E. coli O103:H2	PDT000135357.3	USA	stool	clinical				SAMN05245337	GCA_012895015.1	blaEC=COMPLETE	2016-04
E. coli O111:NM	PDT000135749.3	USA	stool	clinical				SAMN05263484		blaEC=COMPLETE,gyrA_S83L=POINT	2016-05
E. coli O26:H11	PDT000135755.3	USA	stool	clinical				SAMN05263490	GCA_012894955.1	blaEC=COMPLETE	2016-05
E. coli O103:NM	PDT000135756.3	USA	stool	clinical				SAMN05263491	GCA_012894975.1	blaEC=COMPLETE	2016-05
E. coli O121:Pending	PDT000135762.3	USA	stool	clinical				SAMN05272516	GCA_012895275.1	blaEC=COMPLETE	2016-05
E. coli O121:H19	PDT000135781.3	USA	stool	clinical				SAMN05272015	GCA_012895235.1	blaEC=COMPLETE	2016-05
E. coli O103:Undetermined	PDT000135788.3	USA	stool	clinical				SAMN05273158	GCA_012894735.1	blaEC=COMPLETE	2013-06
E. coli O111	PDT000135793.3	USA	stool	clinical				SAMN05272509	GCA_012894695.1	blaEC=COMPLETE,gyrA_S83L=POINT	2016-05
E. coli O45:Undetermined	PDT000135796.3	USA	stool	clinical				SAMN05273153	GCA_012894615.1	blaEC=COMPLETE	2013-01
E. coli O121:Pending	PDT000135919.3	USA	stool	clinical				SAMN05291970	GCA_012894195.1	blaEC=COMPLETE	2016-06
E. coli O145:Pending	PDT000136743.3	USA	stool	clinical				SAMN05300579	GCA_012893695.1	blaEC=MISTRANSLATION	2016-06
E. coli O91:H14	PDT000136748.3	USA	stool	clinical				SAMN05277768	GCA_012893715.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	2016-05
E. coli O111:Undetermined	PDT000136754.3	USA	stool	clinical				SAMN05291925	GCA_012893615.1	blaEC=MISTRANSLATION	2016-05
E. coli O98:NM	PDT000137153.3	USA	stool	clinical				SAMN05275343	GCA_012895715.1	blaEC=COMPLETE	2016-05
E. coli O145:NM	PDT000137585.3	USA	stool	clinical				SAMN05374543	GCA_012895735.1	blaEC=MISTRANSLATION	2013-12
E. coli O103:H2	PDT000137591.3	USA	stool	clinical				SAMN05374550	GCA_012772675.1	blaEC=COMPLETE	2012-12
E. coli O103:Pending	PDT000137679.3	USA	stool	clinical				SAMN05357729	GCA_012893555.1	blaEC=COMPLETE	2016-06
E. coli O26:Pending	PDT000137685.3	USA:WY	stool	clinical				SAMN05294505		blaEC=COMPLETE	2016-04
E. coli O103:Undetermined	PDT000137689.3	USA	stool	clinical				SAMN05331359	GCA_012895675.1	blaEC=COMPLETE	2016-02
E. coli O26:Undetermined	PDT000137700.3	USA	stool	clinical				SAMN05331356	GCA_012893335.1	blaEC=COMPLETE	2013-09
E. coli O103:NM	PDT000137735.3	USA	stool	clinical				SAMN03939353	GCA_012893235.1	blaEC=COMPLETE	2015-07
E. coli O5:NM	PDT000139231.3	USA	stool	clinical				SAMN05255129	GCA_012893395.1	blaEC=COMPLETE,fosA7.5=COMPLETE	2015-06
	PDT000142807.2	USA:MA	feces	environmental/other				SAMN05464541	GCA_012638005.1	aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2011-04-14
E. coli O111:Isolate to CDC	PDT000146504.3	USA	stool	clinical				SAMN04849852	GCA_012767615.1	blaEC=COMPLETE	2016-02
E. coli O111:NM	PDT000150711.3	USA	stool	clinical				SAMN04913825	GCA_012905465.1	blaEC=COMPLETE	2011-08
E. coli O103:H25	PDT000150713.3	USA	stool	clinical				SAMN04913827	GCA_012905445.1	blaEC=COMPLETE	2012-02
E. coli O186:H2	PDT000151505.3	USA	stool	clinical				SAMN04497515	GCA_014435085.1	blaEC=COMPLETE	2016-01
E. coli O121:H19	PDT000151506.3	USA	stool	clinical				SAMN04913829	GCA_012581875.1	blaEC=COMPLETE	2012-08
E. coli O103:H2	PDT000151509.3	USA	stool	clinical				SAMN04913832	GCA_012581835.1	blaEC=COMPLETE	2015-12
E. coli O55:H12	PDT000063257.3	USA	stool	clinical	PDS000050370.3	36		SAMN03569454	GCA_012818955.1	blaEC=COMPLETE,tet(A)=COMPLETE	2012-07
E. coli O168:H8	PDT000051248.3	USA	stool	clinical	PDS000056738.1	1		SAMN03381578	GCA_012824555.1	blaEC=COMPLETE	2015-02
E. coli O103:HNT	PDT000051368.3	USA	stool	clinical	PDS000056738.1	1		SAMN03394883	GCA_012826095.1	blaEC=COMPLETE	2015-02
E. coli O103:Undetermined	PDT000066894.3	USA	stool	clinical	PDS000057012.1	2		SAMN03761417		blaEC=COMPLETE	2015-04
	PDT000252520.1	USA:CA	feces	environmental/other	PDS000060778.3	19		SAMN05439467	GCA_002537845.1	blaEC=COMPLETE,marR_S3N=POINT	2010-06-24
E. coli O19:H45	PDT000124997.3	USA	stool	clinical	PDS000057183.1	8		SAMN04568479		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2016-02
	PDT000252517.1	USA:CA	feces	environmental/other	PDS000060794.3	12		SAMN05439497	GCA_002537685.1	blaEC=COMPLETE	2010-07-29
	PDT000228262.1	USA:OK	feces	environmental/other	PDS000048288.1	22		SAMN05440299	GCA_002230975.1	blaEC=COMPLETE	2000-10-10
E. coli O111:Pending	PDT000065205.3	USA	stool	clinical	PDS000056723.2	2		SAMN03654359	GCA_012816055.1	blaEC=COMPLETE	2014-12
E. coli O111:Pending	PDT000098710.3	USA	stool	clinical	PDS000056946.2	11		SAMN04287228		blaEC=COMPLETE	2015-11
E. coli O111:Pending	PDT000135742.3	USA	stool	clinical	PDS000056946.2	11		SAMN05272341		blaEC=COMPLETE	2016-06
E. coli O103:H2	PDT000069923.3	USA	stool	clinical	PDS000057005.1	34		SAMN03792129		blaEC=COMPLETE	2013-10
E. coli O77:H45	PDT000096918.3	USA	stool	clinical	PDS000057001.1	2		SAMN04279096		blaEC=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT	2015-10
E. coli O91:H21	PDT000040389.4	USA	stool	clinical	PDS000057063.1	0		SAMN02991220	GCA_012704345.1	blaEC=COMPLETE	2009-05
E. coli O130:H11	PDT000083251.3	USA	stool	clinical	PDS000058045.1	1		SAMN04015045	GCA_012796315.1	blaEC=COMPLETE	2015-07
E. coli O111:Pending	PDT000083219.3	USA	stool	clinical	PDS000058115.1	29		SAMN04007132		blaEC=COMPLETE	2015-08
E. coli O28:NM	PDT000083217.3	USA	stool	clinical	PDS000057967.1	1		SAMN04028176	GCA_012796815.1	blaEC=COMPLETE	2015-07
	PDT000248786.1	USA: CO	feces	environmental/other				SAMN04902886	GCA_002463335.1	blaEC=COMPLETE,blaTEM-1=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2013-12-13
	PDT000252547.1	USA:DC	feces	environmental/other				SAMN05439405	GCA_002539085.1	blaEC-5=COMPLETE,parC_S57T=POINT	2008-09-19
	PDT000252584.1	USA:PA	feces	environmental/other				SAMN05439473	GCA_002542155.1	aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	2010-05-26
	PDT000252617.1	USA:IA	feces	environmental/other				SAMN05439414	GCA_002543945.1	blaEC=COMPLETE,fosA7.5=COMPLETE,tet(A)=COMPLETE	2009-11-13
	PDT000252625.1	USA:CA	feces	environmental/other				SAMN05439400	GCA_002544245.1	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCMY-2=COMPLETE,blaEC=COMPLETE,floR=COMPLETE,sul1=PARTIAL,sul2=COMPLETE,tet(A)=COMPLETE	2009-02-26
	PDT000252674.1	USA:NJ	feces	environmental/other				SAMN04902885	GCA_002546795.1	blaEC=COMPLETE	2013-10-23
E. coli O111:H8	PDT000300559.1	USA	stool	clinical				SAMN04558451	GCA_003018535.1	blaEC=COMPLETE	2013-06
E. coli O103:H25	PDT000300589.1	USA	stool	clinical				SAMN02991245	GCA_003019155.1	blaEC=COMPLETE	2012-08
	PDT000673234.1	USA: St Louis	stool	clinical	PDS000056066.2	6		SAMN11335358	GCA_012645145.1	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=PARTIAL,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,dfrA14=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT,sul2=COMPLETE,tet(A)=COMPLETE	2017/2018
	PDT000673237.1	USA: St Louis	stool	clinical	PDS000056066.2	6		SAMN11335357	GCA_012645125.1	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aph(3'')-Ib=PARTIAL,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaEC=PARTIAL,blaOXA-1=COMPLETE,blaOXA=PARTIAL_END_OF_CONTIG,catB3=PARTIAL_END_OF_CONTIG,cyaA_S352T=POINT,dfrA14=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,parC_S80I=POINT,parE_S458A=POINT,sul2=COMPLETE,tet(A)=COMPLETE	2017/2018
	PDT000673204.1	USA: St Louis	stool	clinical	PDS000073329.4	0	26	SAMN11335401	GCA_012645405.1	aadA5=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673205.1	USA: St Louis	stool	clinical	PDS000073329.4	0	26	SAMN11335400	GCA_012645455.1	aadA5=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673242.1	USA: St Louis	stool	clinical	PDS000035243.92	3	32	SAMN11335388	GCA_012669885.1	aadA5=COMPLETE,ampC_T-32A=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673243.1	USA: St Louis	stool	clinical	PDS000035243.92	9	40	SAMN11335389	GCA_012673085.1	aadA5=COMPLETE,ampC_T-32A=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673150.1	USA: St Louis	stool	clinical	PDS000056076.1	1		SAMN11335461	GCA_012646725.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673151.1	USA: St Louis	stool	clinical	PDS000056076.1	0		SAMN11335460	GCA_012645705.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673153.1	USA: St Louis	stool	clinical	PDS000056076.1	5		SAMN11335462	GCA_012667365.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673156.1	USA: St Louis	stool	clinical	PDS000056076.1	0		SAMN11335459	GCA_012645895.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673160.1	USA: St Louis	stool	clinical	PDS000056076.1	0		SAMN11335452	GCA_012645745.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673161.1	USA: St Louis	stool	clinical	PDS000056076.1	1		SAMN11335453	GCA_012645685.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673162.1	USA: St Louis	stool	clinical	PDS000056076.1	1		SAMN11335450	GCA_012661165.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
	PDT000673163.1	USA: St Louis	stool	clinical	PDS000056076.1	0		SAMN11335451	GCA_012666975.1	aac(3)-IId=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,parC_S80I=POINT,parE_L445H=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE,uhpT_E350Q=POINT	2017/2018
